"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"
"Abilene Christian University"	"Yes"	7.41457288135059	7.11639414409346	721	23	52	7.9672801789422	6.28599809450886	8.91462612782714	8.10167774745457	6.10924758276437	7.69621263934641	70	78	18.1	12	8.85950548451913	60
"Adelphi University"	"Yes"	7.68982866873648	7.56216163122565	512	16	29	7.89469085042562	7.11232744471091	9.41572720170113	8.77183540978982	6.62007320653036	7.3132203870903	29	30	12.2	16	9.26169866425133	56
"Adrian College"	"Yes"	7.26403014289953	7.00033446027523	336	22	50	6.94312242281943	4.59511985013459	9.32812340763257	8.22951111896446	5.99146454710798	7.0604763659998	53	66	12.9	30	9.07509322256816	54
"Agnes Scott College"	"Yes"	6.0330862217988	5.85507192220243	137	60	89	6.23441072571837	4.14313472639153	9.46962296990626	8.60337088765729	6.10924758276437	6.77422388635761	92	97	7.7	37	9.85303600904003	59
"Alaska Pacific University"	"Yes"	5.26269018890489	4.98360662170834	55	16	44	5.51745289646471	6.76734312526539	8.93062646917358	8.32360844234357	6.68461172766793	7.3132203870903	76	72	11.9	2	9.2985343827121	15
"Albertson College"	"Yes"	6.3750248198281	6.17170059741091	158	38	62	6.5191472879404	3.71357206670431	9.51044496442652	8.11222795834972	6.21460809842219	6.51471269087253	67	73	9.4	11	9.18266080286944	55
"Albertus Magnus College"	"Yes"	5.8664680569333	5.82894561761021	103	17	45	6.03068526026126	5.4380793089232	9.49476715170729	8.65172408437384	6.21460809842219	7.3132203870903	90	93	11.5	26	9.0894149040473	63
"Albion College"	"Yes"	7.54908271081229	7.4500795698075	489	37	68	7.37400185935016	3.46573590279973	9.53733930680491	8.48177324618498	6.10924758276437	6.74523634948436	89	100	13.7	37	9.3489712401454	73
"Albright College"	"Yes"	6.94505106372583	6.73221070646721	227	30	63	6.880384082186	5.72358510195238	9.6547056290419	8.38935981990635	5.7037824746562	6.21460809842219	79	84	11.3	23	9.36254630486551	80
"Alderson-Broaddus College"	"Yes"	6.36647044773144	6.21060007702465	172	21	44	6.68336094576627	4.35670882668959	9.25607826365004	8.12563098847706	6.49223983502047	7.49554194388426	40	41	11.5	15	9.10397935598477	52
"Alfred University"	"Yes"	7.45703208912238	7.26192709270275	472	37	75	7.51207124583547	4.70048036579242	9.7140205275813	8.59526472683639	6.21460809842219	6.39692965521615	82	88	11.3	31	9.29944954704796	73
"Allegheny College"	"Yes"	7.88306935130575	7.54960916515453	484	44	77	7.44249272279444	3.78418963391826	9.74566346734256	8.39840965542627	5.99146454710798	6.39692965521615	73	91	9.9	41	9.36828385004214	76
