"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"
"Angelo State University"	"No"	8.17188200612782	7.60140233458373	1016	24	54	8.34045601291618	7.32118855673948	8.54286093816481	8.18646442942209	6.21460809842219	7.60090245954208	60	62	23.1	5	8.29654652030061	34
"Appalachian State University"	"No"	8.89740886527095	8.44762872803033	1910	20	63	9.20432229965062	6.94215670569947	8.82555985506085	7.83991936001258	4.56434819146784	7.60090245954208	83	96	18.3	14	8.67488046725183	70
"Arizona State University Main campus"	"No"	9.45790332783114	9.24067557177226	3761	24	49	10.0253954027695	8.93392789178263	8.9138193508572	8.48673398393153	6.5510803350434	7.64969262371151	88	93	18.9	5	8.43424627059531	48
"Arkansas Tech University"	"No"	7.45818615734049	7.45529848568329	951	12	52	8.1892445257359	6.84481547920826	8.14902386805177	7.88231491898027	6.10924758276437	6.90775527898214	57	60	19.6	5	8.46358142196759	48
"Auburn University-Main Campus"	"No"	8.92903790648844	8.82335348511379	3070	25	57	9.69658637676778	7.44775128004791	8.74830491237962	8.27715777243181	6.39692965521615	7.55381085200823	85	91	16.7	18	8.80116840193669	69
"Bemidji State University"	"No"	7.09672137849476	6.77650699237218	546	12	36	8.24170315972982	6.71417052990947	8.39502555744203	7.90100705199242	6.49223983502047	7.49554194388426	57	62	19.6	16	8.23004431012611	46
"Bloomsburg Univ. of Pennsylvania"	"No"	8.8206993992149	8.01565761455734	1025	15	55	8.67368398817567	6.85224256905188	8.96750418731624	7.98888225330923	6.21460809842219	7.4265490723973	66	68	18	19	8.85950548451913	75
"Bowling Green State University"	"No"	9.13248693277132	8.9001399880938	3076	14	45	9.52507811645139	7.10085190894405	8.91623773172148	8.11731246160197	6.39692965521615	7.43838353004431	81	89	21.1	14	8.84188198949711	67
"California Polytechnic-San Luis"	"No"	8.9632882756103	8.24722005274523	1650	47	73	9.46583494017472	7.24708058458576	8.90652891759452	8.49228555571005	6.41673228251233	7.64539769942863	72	81	19.8	13	9.04227668692893	59
"California State University at Fresno"	"No"	8.42068229103539	8.09985791073758	1483	5	60	9.51000042118737	7.13409372119287	8.9497545251861	8.38206051742474	6.39692965521615	7.56320059235807	90	90	21.2	8	8.89123642951606	61
"Castleton State College"	"No"	7.13648320859025	6.84587987526405	363	9	22	7.34407285057307	5.68357976733868	8.94324493313279	8.45318786144033	5.99146454710798	6.5510803350434	89	91	14.7	8	8.75115798136203	79
"Central Connecticut State University"	"No"	8.33278946841796	7.83676478326407	902	6	24	8.76311532961979	8.26384813136891	8.69316127423802	8.39931015075952	6.21460809842219	6.89264164117209	69	73	16.7	4	8.49699048409872	49
"Central Missouri State University"	"No"	8.45126704130007	8.31898612539206	1436	10	35	8.99887832543581	7.37525577800975	8.43814998407578	8.09803475617607	5.7037824746562	7.71868549519847	69	80	19.7	4	8.61268517287546	50
"Central Washington University"	"No"	7.93200315236138	7.60638738977265	1007	8	65	8.78063379949498	6.8001700683022	8.88765269032559	8.18952211074809	6.4831073514572	7.25559127425367	67	89	18.1	0	8.76608245914886	51
"Christopher Newport University"	"No"	6.78332520060396	6.64118216974059	428	3	37	7.97590836016554	7.4667994750186	8.96954188542325	8.46589989702869	6.26339826259162	7.54380286750151	80	82	21.2	16	8.44225410475174	48
"Clemson University"	"No"	8.99528899055931	8.56731580081945	2301	37	65	9.37203396097417	6.64639051484773	9.00159270094571	8.19146305132693	6.68461172766793	7.38894609761844	82	88	18	17	8.93550871150322	73
"Clinch Valley Coll. of  the Univ. of Virginia"	"No"	6.53524127101366	6.3297209055227	250	15	30	7.02553831463852	6.04500531403601	8.87738195465477	8.21311069759668	6.39692965521615	7.54960916515453	67	67	18.1	9	8.39321601159653	46
"College of Charleston"	"No"	8.47052078321781	8.0519780789023	1265	22	55	8.8321499060029	7.09007683577609	8.71931737550637	8.14902386805177	6.50128967054039	7.74759683869289	73	78	17.2	18	8.47135865507244	51
"College of William and Mary"	"No"	8.87024156729927	8.04109100370863	1217	68	88	8.55371796609861	4.89783979995091	9.369052063131	8.36590507720246	6.39692965521615	6.68461172766793	89	92	12.1	31	9.16261963576477	93
"Colorado State University"	"No"	9.15672860252753	8.75020786252571	2194	29	65	9.65797057224503	7.51152464839087	9.03741453682259	8.3380665255188	6.1527326947041	7.49554194388426	87	89	19.2	10	8.96826881077645	59
"Delta State University"	"No"	6.87419849545329	6.85118492749374	459	15	48	7.93951526066241	6.28785856016178	8.41803561988302	7.539027055824	6.21460809842219	7.09007683577609	49	63	17.1	16	8.53954159508	58
"Dickinson State University"	"No"	6.07304453410041	6.02102334934953	319	10	30	7.22693601849329	5.46806014113513	8.40871671508015	7.67136092319064	6.39692965521615	7.60090245954208	50	64	16.5	28	8.41737285613403	46
"East Carolina University"	"No"	9.13497006495141	8.75809807230909	2435	14	44	9.48577272199905	7.43070708254597	8.88848084772282	8.08332860878638	6.21460809842219	7.43838353004431	74	78	13.2	18	9.10520205385288	58
